"","GEOID","NAME.x","pop_2017","pop_2018","pop_change"
"162","05101","Newton County, Arkansas",7898,7848,-0.633071663712332
"163","05103","Ouachita County, Arkansas",24378,24106,-1.11576011157601
"164","05105","Perry County, Arkansas",10320,10322,0.0193798449612403
"165","05107","Phillips County, Arkansas",19518,19034,-2.47976227072446
"166","05109","Pike County, Arkansas",10893,10808,-0.780317635178555
"167","05111","Poinsett County, Arkansas",24098,24054,-0.182587766619636
"168","05113","Polk County, Arkansas",20212,20163,-0.242430239461706
"169","05115","Pope County, Arkansas",63372,63644,0.429211639209746
"170","05117","Prairie County, Arkansas",8309,8244,-0.7822842700686
"171","05119","Pulaski County, Arkansas",392848,393463,0.156549097869914
"172","05121","Randolph County, Arkansas",17514,17603,0.508164896654105
"173","05123","St. Francis County, Arkansas",26688,26294,-1.47631894484412
"174","05125","Saline County, Arkansas",116252,118009,1.51137184736607
"175","05127","Scott County, Arkansas",10584,10442,-1.3416477702192
"176","05129","Searcy County, Arkansas",7925,7923,-0.0252365930599369
"177","05131","Sebastian County, Arkansas",127362,127461,0.0777311914071701
"178","05133","Sevier County, Arkansas",17206,17193,-0.0755550389399047
"179","05135","Sharp County, Arkansas",17041,17043,0.0117364004459832
"180","05137","Stone County, Arkansas",12443,12446,0.0241099413324761
"181","05139","Union County, Arkansas",40022,39732,-0.724601469191944
"182","05141","Van Buren County, Arkansas",16751,16684,-0.399976120828607
"183","05143","Washington County, Arkansas",223683,228529,2.16645878318871
"184","05145","White County, Arkansas",78706,78804,0.124514014179351
"185","05147","Woodruff County, Arkansas",6763,6660,-1.52299275469466
"186","05149","Yell County, Arkansas",21601,21573,-0.129623628535716
"187","06001","Alameda County, California",1629615,1643700,0.864314577369501
"188","06003","Alpine County, California",1203,1146,-4.73815461346633
"189","06005","Amador County, California",37306,37829,1.40191926231705
"190","06007","Butte County, California",225207,227075,0.829459119831977
"191","06009","Calaveras County, California",45057,45235,0.395055152362563
"192","06011","Colusa County, California",21479,21464,-0.0698356534289306
"193","06013","Contra Costa County, California",1123678,1133247,0.851578477108211
"194","06015","Del Norte County, California",27442,27424,-0.0655928868158298
"195","06017","El Dorado County, California",185015,186661,0.889657595330108
"196","06019","Fresno County, California",971616,978130,0.670429470078714
"197","06021","Glenn County, California",27935,27897,-0.136030069804904
"198","06023","Humboldt County, California",135490,135768,0.205181194184073
"199","06025","Imperial County, California",179957,180216,0.143923270559078
"200","06027","Inyo County, California",18195,18085,-0.60456169277274
"201","06029","Kern County, California",878744,883053,0.490358966889105
"202","06031","Kings County, California",150183,150075,-0.0719122670342183
"203","06033","Lake County, California",64095,64148,0.0826897573913722
"204","06035","Lassen County, California",31470,31185,-0.905624404194471
"205","06037","Los Angeles County, California",10105722,10098052,-0.0758975954414736
"206","06039","Madera County, California",154440,155013,0.371017871017871
"207","06041","Marin County, California",260814,260295,-0.198992385378086
"208","06043","Mariposa County, California",17658,17540,-0.668252350209537
"209","06045","Mendocino County, California",87497,87422,-0.0857172245905574
"210","06047","Merced County, California",267390,269075,0.630165675604922
"211","06049","Modoc County, California",9017,8938,-0.876122879006321
"212","06051","Mono County, California",14058,14174,0.825152937828994
"213","06053","Monterey County, California",433168,433212,0.0101577217153622
"214","06055","Napa County, California",141005,140530,-0.336867486968547
"215","06057","Nevada County, California",98838,99092,0.256986179404682
"216","06059","Orange County, California",3155816,3164182,0.26509783840376
"217","06061","Placer County, California",374985,380077,1.35792098350601
"218","06063","Plumas County, California",18724,18699,-0.133518478957488
"219","06065","Riverside County, California",2355002,2383286,1.20101808830736
"220","06067","Sacramento County, California",1495400,1510023,0.977865454059115
"221","06069","San Benito County, California",58671,59416,1.26979257213956
"222","06071","San Bernardino County, California",2121220,2135413,0.669096086214537
"223","06073","San Diego County, California",3283665,3302833,0.583737987888533
"224","06075","San Francisco County, California",864263,870044,0.668893612245347
"225","06077","San Joaquin County, California",724153,732212,1.11288636517421
"226","06079","San Luis Obispo County, California",280119,281455,0.476940157575887
"227","06081","San Mateo County, California",763450,765935,0.325496103215666
"228","06083","Santa Barbara County, California",442996,443738,0.167495869037192
"229","06085","Santa Clara County, California",1911226,1922200,0.574186412281959
"230","06087","Santa Cruz County, California",273263,273765,0.183705807226006
"231","06089","Shasta County, California",178919,179085,0.0927794141483018
"232","06091","Sierra County, California",2885,2930,1.55979202772964
"233","06093","Siskiyou County, California",43530,43540,0.0229726625315874
"234","06095","Solano County, California",434981,438530,0.815897705876808
"235","06097","Sonoma County, California",500943,501317,0.07465919276245
"236","06099","Stanislaus County, California",535684,539301,0.675211505290433
"237","06101","Sutter County, California",95583,95872,0.302355021290397
"238","06103","Tehama County, California",63247,63373,0.199218935285468
"239","06105","Trinity County, California",13037,12862,-1.34233335890159
"240","06107","Tulare County, California",458809,460477,0.363549973954303
"241","06109","Tuolumne County, California",53899,53932,0.0612256257073415
"242","06111","Ventura County, California",847834,848112,0.0327894375549931
"243","06113","Yolo County, California",212605,214977,1.11568401495732
"244","06115","Yuba County, California",74644,75493,1.1373988532233
"245","08001","Adams County, Colorado",487850,497115,1.8991493286871
"246","08003","Alamosa County, Colorado",16345,16444,0.605689813398593
"247","08005","Arapahoe County, Colorado",626612,636671,1.60529961124268
"248","08007","Archuleta County, Colorado",12592,12908,2.50952986022872
"249","08009","Baca County, Colorado",3581,3563,-0.502652890254119
"250","08011","Bent County, Colorado",5806,5809,0.0516706854977609
"251","08013","Boulder County, Colorado",316782,321030,1.34098528325473
"252","08014","Broomfield County, Colorado",64283,66120,2.85767621299566
"253","08015","Chaffee County, Colorado",18818,19164,1.83866510787544
"254","08017","Cheyenne County, Colorado",2127,2039,-4.13728255759285
"255","08019","Clear Creek County, Colorado",9257,9379,1.31792157286378
"256","08021","Conejos County, Colorado",8147,8142,-0.0613722842764208
"257","08023","Costilla County, Colorado",3628,3687,1.62624035281147
"258","08025","Crowley County, Colorado",5514,5630,2.10373594486761
"259","08027","Custer County, Colorado",4505,4640,2.99667036625971
"260","08029","Delta County, Colorado",30217,30346,0.42691200317702
"261","08031","Denver County, Colorado",678467,693417,2.20349700132799
"262","08033","Dolores County, Colorado",1736,1841,6.04838709677419
"263","08035","Douglas County, Colorado",320940,328614,2.39110114040008
"264","08037","Eagle County, Colorado",53726,54357,1.17447790641403
"265","08039","Elbert County, Colorado",24553,25162,2.4803486335682
"266","08041","El Paso County, Colorado",674826,688153,1.97487945040648
"267","08043","Fremont County, Colorado",46601,47002,0.8604965558679
"268","08045","Garfield County, Colorado",57945,58538,1.02338424367935
"269","08047","Gilpin County, Colorado",5793,5924,2.26134990505783
"270","08049","Grand County, Colorado",14793,15066,1.84546745082133
"271","08051","Gunnison County, Colorado",16215,16537,1.98581560283688
"272","08053","Hinsdale County, Colorado",820,878,7.07317073170732
"273","08055","Huerfano County, Colorado",6498,6583,1.30809479839951
"274","08057","Jackson County, Colorado",1372,1296,-5.53935860058309
"275","08059","Jefferson County, Colorado",564029,570427,1.13433883718745
"276","08061","Kiowa County, Colorado",1368,1449,5.92105263157895
"277","08063","Kit Carson County, Colorado",7846,7635,-2.68926841702778
"278","08065","Lake County, Colorado",7481,7585,1.39018847747627
"279","08067","La Plata County, Colorado",54469,55101,1.16029301070334
"280","08069","Larimer County, Colorado",330976,338161,2.17085226723388
"281","08071","Las Animas County, Colorado",14151,14179,0.197865875203166
"282","08073","Lincoln County, Colorado",5520,5548,0.507246376811594
"283","08075","Logan County, Colorado",21885,21689,-0.895590587160155
"284","08077","Mesa County, Colorado",148798,149998,0.806462452452318
"285","08079","Mineral County, Colorado",834,823,-1.3189448441247
"286","08081","Moffat County, Colorado",13056,13060,0.0306372549019608
"287","08083","Montezuma County, Colorado",25770,25909,0.539386883973613
"288","08085","Montrose County, Colorado",40908,41268,0.880023467292461
"289","08087","Morgan County, Colorado",28123,28257,0.476478327347722
"290","08089","Otero County, Colorado",18325,18325,0
"291","08091","Ouray County, Colorado",4653,4722,1.4829142488717
"292","08093","Park County, Colorado",16900,17392,2.9112426035503
"293","08095","Phillips County, Colorado",4327,4318,-0.207996302287959
"294","08097","Pitkin County, Colorado",17747,17909,0.912830337521835
"295","08099","Prowers County, Colorado",12084,12052,-0.264812975835816
"296","08101","Pueblo County, Colorado",163368,164685,0.80615542823564
"297","08103","Rio Blanco County, Colorado",6557,6465,-1.40308067713894
"298","08105","Rio Grande County, Colorado",11430,11351,-0.691163604549431
"299","08107","Routt County, Colorado",24359,24874,2.11420830083337
"300","08109","Saguache County, Colorado",6338,6468,2.05112022720101
"301","08111","San Juan County, Colorado",569,544,-4.39367311072056
"302","08113","San Miguel County, Colorado",7804,7968,2.10148641722194
"303","08115","Sedgwick County, Colorado",2357,2350,-0.296987696224014
"304","08117","Summit County, Colorado",29722,30429,2.37870937352803
"305","08119","Teller County, Colorado",23769,24113,1.44726324203795
"306","08121","Washington County, Colorado",4809,4840,0.644624662091911
"307","08123","Weld County, Colorado",285729,295123,3.28773068186988
"308","08125","Yuma County, Colorado",10109,10069,-0.395687011573845
"309","09001","Fairfield County, Connecticut",947328,944348,-0.314568977165248
"310","09003","Hartford County, Connecticut",897417,894730,-0.299414876250394
"311","09005","Litchfield County, Connecticut",184454,183031,-0.771466056577792
"312","09007","Middlesex County, Connecticut",164110,163368,-0.452135762598257
"313","09009","New Haven County, Connecticut",862127,859339,-0.323386229639021
"314","09011","New London County, Connecticut",270772,268881,-0.698373539361529
"315","09013","Tolland County, Connecticut",151596,151269,-0.215704899865432
"316","09015","Windham County, Connecticut",116674,116538,-0.116564101685037
"317","10001","Kent County, Delaware",173145,174822,0.968552369401369
"318","10003","New Castle County, Delaware",555036,555133,0.0174763438767936
"319","10005","Sussex County, Delaware",215551,219540,1.8506061210572
"320","11001","District of Columbia, District of Columbia",672391,684498,1.80058924048656
"321","12001","Alachua County, Florida",259865,263148,1.26334827698998
"322","12003","Baker County, Florida",27537,27785,0.900606456767259
"323","12005","Bay County, Florida",180117,182482,1.31303541586857
"324","12007","Bradford County, Florida",26775,26979,0.761904761904762
"325","12009","Brevard County, Florida",568183,576808,1.51799684256657
"326","12011","Broward County, Florida",1890416,1909151,0.99105170502154
"327","12013","Calhoun County, Florida",14458,14444,-0.096832203624291
"328","12015","Charlotte County, Florida",173236,176954,2.1462051767531
"329","12017","Citrus County, Florida",141373,143087,1.21239557765627
"330","12019","Clay County, Florida",203291,207291,1.96762276736304
"331","12021","Collier County, Florida",356774,363922,2.00350922432688
"332","12023","Columbia County, Florida",68484,69105,0.9067811459611
"333","12027","DeSoto County, Florida",35675,36399,2.02943237561317
"334","12029","Dixie County, Florida",16323,16437,0.698401029222569
"335","12031","Duval County, Florida",912043,924229,1.33612121358313
"336","12033","Escambia County, Florida",309924,311522,0.515610278648959
"337","12035","Flagler County, Florida",105015,107139,2.02256820454221
"338","12037","Franklin County, Florida",11675,11736,0.522483940042827
"339","12039","Gadsden County, Florida",46113,46017,-0.208184243055104
"340","12041","Gilchrist County, Florida",17191,17615,2.46640684078878
"341","12043","Glades County, Florida",13197,13363,1.25786163522013
"342","12045","Gulf County, Florida",16018,16055,0.230990136096891
"343","12047","Hamilton County, Florida",14238,14269,0.217727208877651
"344","12049","Hardee County, Florida",27326,27228,-0.358632803923004
"345","12051","Hendry County, Florida",39064,40127,2.72117550686054
"346","12053","Hernando County, Florida",179144,182696,1.98276247041486
"347","12055","Highlands County, Florida",100177,102101,1.92060053704942
"348","12057","Hillsborough County, Florida",1351087,1378883,2.05730645028781
"349","12059","Holmes County, Florida",19483,19430,-0.272032027921778
"350","12061","Indian River County, Florida",147981,150984,2.02931457416831
"351","12063","Jackson County, Florida",48571,48472,-0.20382532787054
"352","12065","Jefferson County, Florida",14085,14105,0.141995030173944
"353","12067","Lafayette County, Florida",8684,8744,0.690925840626439
"354","12069","Lake County, Florida",326215,335362,2.80397897092408
"355","12071","Lee County, Florida",700165,718679,2.64423385916177
"356","12073","Leon County, Florida",285890,288102,0.77372415964182
"357","12075","Levy County, Florida",39713,39961,0.624480648654093
"358","12077","Liberty County, Florida",8347,8365,0.215646340002396
"359","12079","Madison County, Florida",18518,18474,-0.237606652986284
"360","12081","Manatee County, Florida",363542,373853,2.83626100973203
"361","12083","Marion County, Florida",343778,348371,1.33603662828919
"362","12085","Martin County, Florida",155719,157581,1.19574361510156
"363","12086","Miami-Dade County, Florida",2702602,2715516,0.477835804162063
"364","12087","Monroe County, Florida",76745,76325,-0.547266922926575
"365","12089","Nassau County, Florida",78435,80578,2.73219863581309
"366","12091","Okaloosa County, Florida",197591,200737,1.59217778137668
"367","12093","Okeechobee County, Florida",40228,40572,0.855125783036691
"368","12095","Orange County, Florida",1290216,1321194,2.4009933220484
"369","12097","Osceola County, Florida",325168,338619,4.13663091079073
"370","12099","Palm Beach County, Florida",1426772,1446277,1.36707196384566
"371","12101","Pasco County, Florida",498136,510593,2.50072269420399
"372","12103","Pinellas County, Florida",949842,957875,0.845719603892016
